0;"Ausbessern";"Verwandlung";"1 Minute";"Berührung";;"Unmittelbar";"Dieser Zauber repariert eine Bruchstelle oder einen Riss in einem Gegenstand, den du berührst, beispielsweise ein zerbrochenes Kettenglied, einen in zwei Hälften zerbrochenen Schlüssel, einen zerrissenen Umhang oder einen leckenden Weinschlauch. Solange der Riss oder die Bruchstelle in keiner Abmessung größer als 30 Zentimeter ist, ist nicht mehr zu erkennen, dass der Gegenstand beschädigt war.  Dieser Zauber kann die physische Form eines magischen Gegenstands oder Konstrukts reparieren, jedoch nicht dessen Magie wiederherstellen.";"bard,cleric,druid,sorc,wiz"
0;"Göttliche Führung";"Erkenntnis";"1 Aktion";"Berührung";;"Konzentration bis 1 min";"Du berührst eine bereitwillige Kreatur. Einmal vor dem Ende des Zaubers kann das Ziel mit einem W4 würfeln und das Ergebnis zu einem Attributswurf seiner Wahl addieren. Es kann mit dem W4 vor oder nach dem Attributswurf würfeln. Dann endet der Zauber.";"cleric,druid"
0;"Heilige Flamme";"Hervorrufung";"1 Aktion";"18 Meter";;"Unmittelbar";"Ein Strahl aus gleißenden Flammen schießt auf eine Kreatur in Reichweite herab, die du sehen kannst. Das Ziel muss einen Geschicklichkeitsrettungswurf bestehen, oder es erleidet 1W8 gleißenden Schaden. Deckung bietet dem Ziel bei diesem Rettungswurf keine Vorteile.  Der Schaden des Zaubers steigt um je 1W8, wenn du die 5. Stufe (2W8), die 11. Stufe (3W8) und die 17. Stufe (4W8) erreichst.";"cleric"
0;"Licht";"Hervorrufung";"1 Aktion";"Berührung";;"1 Stunde";"Du berührst einen Gegenstand, der in keiner Abmessung größer als drei Meter ist. Während der Wirkungsdauer strahlt dieser Gegenstand helles Licht in einem Radius von sechs Metern und dämmriges Licht im Radius von weiteren sechs Metern aus. Du kannst die Farbe des Lichts frei wählen. Wenn der Gegenstand mit etwas Blickdichtem abgedeckt wird, wird das Licht blockiert. Der Zauber endet vorzeitig, wenn du ihn erneut wirkst oder ihn als Aktion aufhebst.  Wählst du ein Ziel, das von einer feindlichen Kreatur gehalten oder getragen wird, muss diese einen Geschicklichkeitsrettungswurf ausführen, um den Zauber zu verhindern.";"bard,cleric,sorcerer,wizard"
0;"Thaumaturgie";"Verwandlung";"1 Aktion";"9 Meter";;"Bis zu 1 minute";"Du manifestierst ein kleines Wunder, ein Zeichen übernatürlicher Kraft in Reichweite. Du erzeugst einen der folgenden magischen Effekte in Reichweite:  " Deine Stimme klingt eine Minute lang bis zu dreimal so laut wie sonst.  " Du lässt eine Minute lang Flammen auflodern, stärker oder schwächer leuchten oder ihre Farbe ändern.  " Du verursachst eine Minute lang ein harmloses Erdbeben.  " Du erzeugst einen unmittelbaren Klang, der von einem Punkt deiner Wahl in Reichweite ausgeht, etwa Donnergrollen, das Krächzen eines Raben oder bedrohliches Flüstern.  " Du lässt unmittelbar eine unverschlossene Tür oder ein unverschlossenes Fenster auffliegen oder zuschlagen.  " Du veränderst eine Minute lang das Aussehen deiner Augen.   Wenn du diesen Zauber mehrmals wirkst, können bis zu drei seiner einminütigen Effekte gleichzeitig wirken, und du kannst als Aktion einen der Effekte beenden.";"cleric"
0;"Verschonung der Sterbenden";"Nekromantie";"1 Aktion";"Berührung";;"Unmittelbar";"Du berührst eine lebende Kreatur, die 0 Trefferpunkte hat Die Kreatur wird stabil. Dieser Zauber wirkt nicht auf Untote oder Konstrukte.";"cleric"
0;"Widerstand";"Bannzauber";"1 Aktion";"Berührung";;"Konzentration bis 1 min";"Du berührst eine bereitwillige Kreatur. Einmal vor dem Ende des Zaubers kann das Ziel mit einem W4 würfeln und das Ergebnis zu einem Rettungswurf seiner Wahl addieren. Der Würfel kann vor oder nach dem Rettungswurf geworfen werden. Dann endet der Zauber.";"cleric,druid"
1;"Befehl";"Verzauberung";"1 Aktion";"18 Meter";;"1 Runde";"Du gibst einer Kreatur in Reichweite, die du sehen kannst, einen ein Wort langen Befehl. Das Ziel muss einen Weisheitsrettungswurf bestehen oder den Befehl im nächsten Zug ausführen. Seine Aktion ist damit verbraucht. Der Zauber hat keine Wirkung, wenn das Ziel untot ist, deine Sprache nicht versteht oder dein Befehl ihm direkt Schaden zufügen würde. Kann das Ziel deinen Befehl nicht ausführen, endet der Zauber.<br/><br/>Typische Beispiele:<br/><strong>Flieh:</strong> Ziel bewegt sich so schnell wie möglich von dir weg.<br/><strong>Hinlegen:</strong> Ziel legt sich hin und beendet seinen Zug.<br/><strong>Komm:</strong> Ziel bewegt sich auf kürzesten Weg zu dir.<br/><strong>Loslassen:</strong> Das Ziel lässt fallen, was es hält, und beendet seinen Zug.<br/><strong>Stopp:</strong> Ziel bewegt sich nicht und führt keine Aktionen aus. Eine fliegende Kreatur fliegt die minimal notwendige Strecke.<br/><b>Auf höheren Stufen:</b> Je eine zusätzliche Kreatur betroffen.";"cleric,paladin"
1;"Gift und Krankheit entdecken";"Erkenntnis";"1 Aktion";"Selbst";;"Konzentration bis 10 min";"Während der Wirkungsdauer nimmst du die Gegenwart und die Position von Giften, giftigen Kreaturen und Krankheiten im Abstand von bis zu neun Metern von dir wahr. Du kannst auch die Art des Gifts, der giftigen Kreatur oder der Krankheit bestimmen.Dieser Zauber durchdringt die meisten Barrieren, wird aber von 30 Zentimetern Stein, 2,5 Zentimetern gewöhnlichem Metall, dünnem Bleiblech sowie von einem Meter Holz oder Erde blockiert.Der Zauber kann die meisten Barrieren durchdringen, wird aber von 30 Zentimetern Stein, 2,5 Zentimetern gewöhnlicher Metalle, einer dünnen Schicht Blei oder 90 Zentimetern Holz oder Erde blockiert.";"cleric,druid,paladin,ranger"
1;"Gutes und Böses entdecken";"Erkenntnis";"1 Aktion";"Selbst";;"Konzentration bis 10 min";"Für die Wirkungsdauer weißt du, ob sich eine Aberration, ein celestisches Wesen, ein Elementar, ein Feenwesen, ein Unhold oder ein Untoter im Abstand von bis zu neun Metern von dir befindet, sowie wo sich die Kreatur aufhält. Gleichermaßen weißt du, ob sich im Abstand von bis zu neun Metern von dir ein Ort oder Gegenstand befindet, der magisch geweiht oder entweiht wurde.  Dieser Zauber durchdringt die meisten Barrieren, wird aber von 30 Zentimetern Stein, 2,5 Zentimetern gewöhnlichem Metall, dünnem Bleiblech sowie von einem Meter Holz oder Erde blockiert.";"cleric,paladin"
